Model,Test R²,Test RMSE,Test MAE,Test MAPE (%)
XGBoost,0.9719851613044739,1.2456836563746967,0.949958086013794,3.2604362815618515
LightGBM,0.9650568912218268,1.3912162404615374,1.0785409119627671,3.790830333770646
Gradient Boosting,0.924930440231863,2.039134174674876,1.5944428451974357,5.654972742888105
Ridge Regression,0.9140208617971379,2.182279698887369,1.719595288997521,6.154518782391148
Linear Regression,0.9140130509756921,2.182378821827667,1.7200794414395584,6.157099822784399
Random Forest,0.9035676474491571,2.311134654322625,1.7940650684931507,6.3880822263901775
Lasso Regression,0.762080660007358,3.630184866026216,2.8811259233948325,10.639142719750932
